Nom,Adresse,Emails,Site,Activité,Numéro de Téléphone,latitude,longitude
INTER-NET PROPRETE,11 RUE DES LANDELLES 35510 Cesson-Sévigné,,http://www.inter-net-proprete.com/,Nettoyage courant des bâtiments,,48.1026918,-1.6278575
DES IMAGES ET DES MOTS,6 LA GALINAIS 35600 BAINS SUR OUST,contact@diedm.fr,https://www.diedm.fr,Vente à distance sur catalogue spécialisé,,47.6976654,-2.1102518
GROUPEMENT SAVOYARD DU BATIMENT,5 RUE LOUIS-JACQUES DAGUERRE 35136 Saint-Jacques-de-la-Lande,,http://www.groupe-gsh.com/,Travaux de maçonnerie générale et gros œuvre de bâtiment,,48.0933995,-1.7072891
W.ENTREPRISE,3 RUE ABBE JOSSELIN 22000 Saint-Brieuc,contact@w-entreprise.com,http://www.w-entreprise.com/,Activités des sièges sociaux,,48.5169068,-2.7555108
COFRELEC INDUSTRIE,Avenue du President Wilson Zi 44110 CHATEAUBRIANT,rbl@rbl.fr,https://www.rbl.fr,Fabrication d'éléments en matières plastiques pour la construction,,47.7023192,-1.3944125
SOCIETE ANONYME DE REVETEMENT PEINTURE ISOLATION CARRELAGE,RUE DE LA BOURDINIERE 22120 Yffiniac,,http://www.sarpic.com/,Travaux de revêtement des sols et des murs,,48.4785875,-2.6721066
MENUISERIE HAMON,ZONE D'ACTIVITES DE KERBOULARD 56250 Saint-Nolff,,http://www.menuiseriehamon.com/,Travaux de menuiserie bois et PVC,,47.6816,-2.6129
AXXION,15 RUE EDOUARD BRANLY 44980 STE LUCE SUR LOIRE,contact@axxion.tv,https://www.axxion.tv,Charpentes,,47.2645896,-1.4790564
LA BRASSERIE DU BOUFFAY,54 RUE DES MONCEAUX 44470 Carquefou,contact@brasserie-du-bouffay.com,http://www.brasserie-du-bouffay.com/,Fabrication de bière,,47.3104079,-1.5076158
AZENN,23 RUE DU CHAMP MORIN 35360 Montauban-de-Bretagne,commercial@azenn.com,communication@azenn.com,http://www.azenn.com/,Fabrication d'autres fils et câbles électroniques ou électriques,Tél. : 02 99 06 39 11 - 02 99 06 63 33,48.197356,-2.0319212
FINATOLL-GROUPE ATOLL,17 RUE DU CHAMP MARTIN 35770 Vern-sur-Seiche,,http://www.groupe-atoll.com/,Activités des sièges sociaux,Tél. : 02 99 38 27 66 - 02 98 42 60 63,48.0598596,-1.6130114
CLAUDE INDUSTRIES,15 RUE LAVOISIER 44160 PONTCHATEAU,contact@claudeindus.fr,http://www.claude-industries.com/,,,47.427989,-2.0721802
ESNAULT COUVERTURE,44360 Vigneux-de-Bretagne,,http://www.esnault-couverture.fr/,Travaux de couverture par éléments,Tél. : 02 40 57 38 07 - 06 71 91 00 67,47.3267919,-1.7368752
SODIMA OUEST,36 RUE HENRI MOISSAN 56920 NOYAL-PONTIVY,contact@sodimaouest.com,http://www.sodimaouest.com/,,,48.0556812,-2.9422104
ROUXEL-TANGUY & ASSOCIES,RUE DE LA PRUNELLE 22190 Plérin,,http://www.rouxel-tanguy.fr/,Activités comptables,Tél. : 02 96 33 42 57 - 01 40 16 55 10,48.5385226,-2.7568212
PROFILAGE OUEST,ZI DE LA HAUTIERE 35590 L’Hermitage,,http://www.spoprofilageouest.fr/,Profilage à froid par formage ou pliage,,48.127,-1.8135
ATELIER M AU CARRE,7 RUE DE CHATEAUDUN 35000 RENNES,contact@ateliermaucarre.com,https://www.ateliermaucarre.com,Activités d'architecture,,48.1108755,-1.6659084
LABBE SIMON,PRE MALOU 44550 ST MALO DE GUERSAC,contact@labbe-simon.com,https://www.labbe-simon.com,Charcuteries (detail),,47.3398215,-2.1707544
TECH'INTER,LA CROIX DES ARCHERS 56200 LA GACILLY,info@techinter.fr,https://www.techinter.fr,Electricite : materiel de production et de transport (fabrication),,47.7269,-2.1334
PANZINI,5 RUE DES ECOLES 22240 PLURIEN,contact@nytta.fr,https://www.nytta.fr,Autres commerces de détail sur éventaires et marchés,,48.6245301,-2.4052043
CADRIMAGE,47 RUE CHEVREUL 53200 CHATEAU GONTIER,contact@cadrimage.fr,https://www.cadrimage.fr,Travaux d'encadrements,,47.8277818,-0.7062692
ORINOKO,29 AVENUE DES PEUPLIERS 35510 Cesson-Sévigné,candidature@orinoko.fr,http://www.orinoko.fr/,Programmation informatique,,48.1118589,-1.6119118
AERISS WEB DEVELOPPEMENT,18 RUE GEN LECLERC 22000 ST BRIEUC,contact@aeriss.fr,https://www.aeriss.fr,Informatique : editeurs de logiciels," societes de services",,48.5151,-2.7684
EVENT PARK,34 AUBIGNY 50300 PONTS,contact@eventpark.fr,https://www.eventpark.fr,Autres activités récréatives et de loisirs,,48.7052057,-1.3460693
AUXENCE,RUE DES COQUELICOTS 44110 Louisfert,,http://www.auxence.fr/,Fabrication de produits de consommation courante en matières plastiques,,47.679874,-1.4505359
ALLIOMER,ZA ACTIPOLE 35 35540 MINIAC-MORVAN,,http://www.alliomer.fr/,,,48.486,-1.8364
LE PAS SAGE,2 RUE ER VRENEGUY 56450 LE HEZO,contact@lepassagehezo.fr,https://www.lepassagehezo.fr,Cafes," bars",,47.5826072,-2.6971599
ARCADE DENTAIRE,LE BORDAGE 35510 Cesson-Sévigné,info@arcade-dentaire.com,http://www.arcade-dentaire.com/,Commerce de gros (commerce interentreprises) de produits pharmaceutiques,,48.1212,-1.603
PELLEN CYRIL,11 PLACE LARIBOISIERE 35300 FOUGERES,contact@pellen-osteopathe.fr,https://www.pellen-osteopathe.fr,Osteopathie,,48.3520781,-1.2027777
GWENTHO,LA JANVRIE 53100 MAYENNE,contact@gwenthomaspr.com,http://gwenthomaspr.com,Location de terrains et d'autres biens immobiliers,,48.1786066,-0.8201847
KINO B,60 RUE FAUBOURG DE BERE 44110 CHATEAUBRIANT,contact@kino-b.fr,https://www.kino-b.fr,Oxygenotherapie,,47.725734,-1.390491
CONCEPT CADRE CREATIF,19 RUE DU BAS VILLAGE 35510 CESSON SEVIGNE,,https://www.cccencadrement.fr,Fabrication d'objets divers en bois - fabrication d'objets en liège," vannerie et sparterie",,48.1025795,-1.6249039
TOLERIE INDUSTRIELLE VARADAISE,ZONE INDUSTRIELLE 44370 Loireauxence,contact@tiv-laser.fr,http://www.tiv-laser.fr/,Fabrication de structures métalliques et de parties de structures,Tél. : 02 40 98 34 44 - 02 40 98 30 90
MONSIEUR GILLES SERO,6 RUE JEANNE D ARC 35310 Bréal-sous-Montfort,,https://www.gilles-sero.com,,,48.0492622,-1.8663736
CAP TRANSACTIONS INDUSTRIE,11 RUE DE LA FREBARDIERE 35510 Cesson-Sévigné,communication@cap-transactions.com,http://www.cap-transactions.com/,Agences immobilières,Tél. : 02 23 30 04 40 - 02 53 35 81 79,48.1014719,-1.6291874
CAISSE D ALLOCATIONS FAMILIALES D ILLE ET VILAINE,COURS DES ALLIES 35000 Rennes,,http://www.egoc.org/,Distribution sociale de revenus,,48.1051668,-1.6772174
LE NOUVEAU LYCEE D'ARMOR,2 RUE EMILE SOUVESTRE 22000 ST BRIEUC,contact@lecoursdarmor.fr,https://www.lecoursdarmor.fr,Soutien scolaire," cours particuliers",,48.5151,-2.7684
ENTREPRISE CHANSON,3 RUE DE LA HAYE FONTENY 35220 CHATEAUBOURG,accueil@entreprisechanson.fr,http://www.entreprisechanson.fr/,,,48.142,-1.3396
JEUMONT Electric Maintenance,5 RUE DU CHATEAU DE BEL AIR 44470 Carquefou,contact@je-maintenance.com,http://www.je-maintenance.com/,Réparation d'équipements électriques,Tél. : 02 40 25 13 55 - 03 61 99 96 00,47.2718289,-1.4877738
DOCUWORLD GROUP,2 RUE GUTENBERG 44980 Sainte-Luce-sur-Loire,contact@docuworld.fr,marketing@docuworld.fr,http://www.docuworld.fr/,Photocopie préparation de documents et autres activités spécialisées de soutien de bureau,Tél. : 02 51 13 39 39 - 01 84 25 66 38,47.2671954,-1.482418
GIGAMICRO,AV. DE LA FLAUDAIE ZAC DE LA MADELEINE 35400 ST MALO,contact@gigapro.fr,https://www.gigapro.fr,Commerce de détail d'ordinateurs," d'unités périphériques et de logiciels en magasin spécialisé",,48.65,-2.01667
PEPINIERES DU VAL D'ERDR,LES PLACES 44850 ST MARS DU DESERT,info@pve44.fr,web@pve44.fr,https://www.pve44.fr,Pepinieristes,,47.3636857,-1.4259643
SARIC,LE PATIS 56140 Pleucadeuc,saric@saric.com,http://www.saric.com/,Fabrication de pièces techniques à base de matières plastiques,Tél. : 02 97 26 91 43 - 02 28 02 07 07,47.8,-2.3167
ARMOR PLAFOND ISOLATION,ZONE D'ACTIVITE DE LA FERRERE ZONE D'ACTIVITE DE LA FERRERE 22120 YFFINIAC,contact@armor-plafonds.fr,https://www.armor-plafonds.fr,Commerce de gros (commerce interentreprises) de bois et de matériaux de construction,,44.87545,7.99473
MINIGROUP,1 RUE LOUIS PASTEUR 44119 Treillières,contact@miniplanes.fr,http://www.miniplanes.fr/,Autres activités de soutien aux entreprises n.c.a.,Tél. : 02 40 85 97 44 - 02 53 35 51 16,47.2756553,-1.5922535
Faconnage,IMPASSE JEAN MARIE LE BRIS 56450 THEIX-NOYALO,contact@faconnage.art,http://www.faconnage.art/,,,47.60941,-2.67735
A.B.G,48 LE GUERNAIS 44410 HERBIGNAC,contact@abg-exterieurs.fr,https://www.abg-exterieurs.fr,Services d'aménagement paysager,,47.4635542,-2.3040332
POP'UP MIND,8 RUE HORLOGE 35160 MONTFORT SUR MEU,contact@popupmind.fr,https://www.popupmind.fr,Formation continue,,48.1370333,-1.9546705
FADIER BATIMENTS,14 Rue de Val d'Ize 35500 VITRE,contact@planchais.fr,https://www.planchais.fr,Travaux de maçonnerie générale et gros ¿uvre de bâtiment,,48.1333553,-1.2190452
VEILLE BATIMENT DE L'OUEST,16 RUE DE LA BOULARDIERE 44390 Puceul,,http://www.veille-batiment-ouest.fr/,Travaux de maçonnerie générale et gros œuvre de bâtiment,,47.517373,-1.6483131
C.N.U.,IMPASSE EUGENE FREYSSINET 56800 Ploërmel,,http://www.vspouest.com/,Commerce de voitures et de véhicules automobiles légers,Tél. : 02 99 64 32 57 - 02 97 74 17 16,47.9390942,-2.3816518
SELARL SAINT FRANCOIS D'ASSISE,36 RUE DE LA LIBERATION 56930 Pluméliau,contact@gsab.fr,secretariat@gsab.fr,http://www.gsab.fr/,Activités vétérinaires,,47.9624877,-2.9833849
LE CANCALAIS,1 QUAI SOLIDOR 35400 Saint-Malo,,http://www.lecancalais.fr/,Restauration traditionnelle,Tél. : 02 99 81 15 79 - 02 99 89 61 93,48.6353246,-2.0228137
MEDIALEX,35 AVENUE DES PEUPLIERS 35510 Cesson-Sévigné,formation@medialex.fr,http://www.medialex.fr/,Régie publicitaire de médias,Tél. : 02 99 68 99 33 - 02 99 26 42 00,48.1113516,-1.6132937
PHOT OSMOSE SAS,78 RUE ALLIER 03000 MOULINS,contact@photosmose.com,https://www.photosmose.com,Photographes publicitaires,,46.5592615,3.3337408
ETABLISSEMENTS MICHEL,LIEU-DIT LES HAUTS ROCHERS 35133 Saint-Germain-en-Coglès,contact@seretal.com,http://www.seretal.com/,Fabrication d'aliments pour animaux de ferme,Tél. : 04 94 64 07 14 - 02 23 25 09 71,48.4273,-1.1921
SARL LAUBUS,Place de l'Eglise 35760 ST GREGOIRE,contact@creperie-saint-gregoire.fr,https://www.creperie-saint-gregoire.fr,Restauration traditionnelle,,48.153605,-1.6822678
RENOVATIONS ET TRAVAUX DE LA BAIE,29 RUE DE L HOTEL FURET 50530 SARTILLY BAIE BOCAGE,contact@activ-travaux.com,https://www.activ-travaux.com,Autres activités de soutien aux entreprises n.c.a.,,48.7507778,-1.4583451
AST 35,3 ALLEE CROIX DES HETRES 35700 RENNES,contact@ast35.fr,https://www.ast35.fr,Medecine du travail," sante au travail",,48.112,-1.6743
MAISON DU TISSERAND,1 RUE DEGRES 22800 QUINTIN,mairie@quintin.fr,servicestechniques@quintin.fr,https://www.quintin.fr,Musees,,48.4034,-2.9105
EIFFAGE CONSTRUCTION BRETAGNE,40 BOULEVARD DE LA TOUR D AUVERGNE 35000 RENNES,ecbn.construction@eiffage.com,http://www.eiffage.com/,,,48.104315,-1.6847792
MAIARMOR,48 Cote de Bon Repos 22190 PLERIN,,https://www.maiarmor.com,Enseignement de disciplines sportives et d'activités de loisirs,,48.5257443,-2.7614609
PLASTEOL,24 ALLEE LOIC CARADEC 56000 Vannes,,http://www.plastinov.eu/,Activités spécialisées scientifiques et techniques diverses,,47.6400778,-2.7624529
KREACTION,68 RUE ANITA CONTI 56000 Vannes,contact@kreaction.com,recrutement@kreaction.com,http://www.kreaction.com/,Programmation informatique,,47.670762,-2.789467
CM REGERO Industries,62 RUE JEAN MONNET 44450 Divatte-sur-Loire,info@cm-regero-industries.fr,http://www.cm-regero-industries.fr/,Fabrication de machines agricoles et forestières,,47.2629079,-1.3429853
LE LION EQUESTRE,LIEU DIT L'ISLE BRIAND 49220 LE LION D'ANGERS,contact@mondialdulion.com,https://www.mondialdulion.com,Centres equestres," equitation",,47.7,-0.6667
SOTHEROC,LE ROCHER ABRAHAM 35720 Pleugueneuc,,http://www.sotheroc.fr/,Taille façonnage et finissage de pierres,,48.4464,-1.9128
BlueKanGo,14 RUE PATIS TATELIN 35700 Rennes,contact@bluekango.com,http://www.bluekango.com/,Conseil pour les affaires et autres conseils de gestion,,48.1330272,-1.6371696
BARRAIN EXTRUSION,LA GUEUDIERE 50140 Romagny Fontenay,contact@barrain.com,compta@barrain.com,http://www.barrain.com/,Fabrication de pièces techniques à base de matières plastiques,Tél. : 02 33 49 39 17 - 02 33 49 42 09,48.79325,2.29275
PHARMACIE DE CUILLE,32 RUE DU MAINE 53540 CUILLE,contact@pharmacie-cuille.fr,http://www.pharmacie-du-maine-cuille.com/,,,47.9706618,-1.1162466
PIRIO MIKAEL,1 SQUARE LOUIS MAURICE DE BROGLIE 35000 RENNES,,https://www.majig-set.com,Informatique : conseils," services"," maintenance",48.0994903,-1.711438
LES MAISONS RENNAISES,8 RUE MAURICE FABRE 35000 Rennes,contact@maisons-rennaises.fr,recrutement@maisons-rennaises.fr,http://www.maisons-rennaises.fr/,Construction de maisons individuelles,Tél. : 02 99 67 87 87 - 02 52 56 99 80,48.1177476,-1.7161723
SERV'HYDRAU,118 RUE HENRI GAUTIER 44550 Montoir-de-Bretagne,contact@servhydrau.fr,service.commercial@servhydrau.fr,http://www.servhydrau.fr/,Commerce de gros (commerce interentreprises) de fournitures et équipements industriels divers,,47.3176967,-2.1635036
FRANCOIS MARIE BOYAUX,18 Grand Rue 22240 PLURIEN,contact@fm-boyaux.fr,https://www.fm-boyaux.fr,Fabrication et rechapage de pneumatiques,,48.625559,-2.4036758
L'ENCRE,RUE GUTENBERG 44110 CHATEAUBRIANT,contact@lencre-services-residence.fr,http://lencre-services-residence.fr,Autres services personnels n.c.a.,,47.7208837,-1.3772796
SIGMA INFORMATIQUE,RUE NEWTON 44240 La Chapelle-sur-Erdre,contact@cmar-paca.fr,communication@cmar-paca.fr,http://www.cmar-paca.fr/,Gestion d'installations informatiques,Tél. : 02 40 37 14 00 - 04 96 10 05 40,47.2621751,-1.5484634
AUTO REN,RUE DU PUISATIER ZONE ARTISANALE DU MOULIN 35310 CINTRE,contact@autoren.fr,http://autoren.fr,Entretien et réparation de véhicules automobiles légers,,48.105,-1.8716
TRANSPORTS MORIN,LA PREVOTAIE 56140 Tréal,contact@transports-morin.com,http://www.transports-morin.com/,Transports routiers de fret interurbains,Tél. : 06 80 42 96 95 - 02 99 08 83 93,47.8,-2.3167
LG MACONNERIE,LD KERMOUEL 56250 MONTERBLANC,contact@lg-maconnerie.fr,https://www.lg-maconnerie.fr,Entreprises de maconnerie,,47.6816,-2.6129
TRANSPORTS THEBAULT,2 RUE DE L ARTISANAT 44450 Saint-Julien-de-Concelles,contact@transports-thebault.fr,http://www.transports-thebault.fr/,Transports routiers de fret interurbains,Tél. : 02 40 85 85 38 - 02 40 36 58 00,47.2437951,-1.402705
WOL AUDIO,21 Quai Lamennais 35000 RENNES,contact@hifi-conseil.com,https://www.hifi-conseil.com,Commerce de détail de matériels audio et vidéo en magasin spécialisé,,48.1097873,-1.6832909
PREFA OUEST,ZONE D'ACTIVITES DE KERBOULARD 56250 Saint-Nolff,,http://www.prefa-ouest.com/,Fabrication d'éléments en béton pour la construction,Tél. : 09 80 42 04 08 - 09 70 35 69 29,47.6816,-2.6129
BREIZH'LOC,7 RUE PIERRE SIMON LAPLACE 22600 LOUDEAC,contact@breizhloc.fr,recrutement@breizhloc.fr,https://www.breizhloc.fr,Location de camions," vehicules industriels",48.1514837,-2.7634514
L'HETIK REUNIONNAISE,LE DOMAINE 35140 GOSNE,contact@lhetikreunionnaise-traiteur-35.fr,http://lhetikreunionnaise-traiteur-35.fr,Restauration de type rapide,,48.2298454,-1.453543
S 3 A (Société Atlantique d'Assainissement & d'Aménagement,6 Rue des Fondeurs 44570 TRIGNAC,contact@groupe-exodon.com,https://www.groupe-exodon.com,Construction de réseaux pour fluides,,47.3093565,-2.1915786
